station,datetime,wdir,wspd,wpgt
47107,2017-09-25 07:00:00,350.0,13.0,
47107,2017-09-25 08:00:00,20.0,7.6,
47107,2017-09-25 09:00:00,10.0,3.6,
47107,2017-09-25 10:00:00,20.0,3.6,
47107,2017-09-25 11:00:00,10.0,1.8,
47107,2017-09-25 12:00:00,310.0,3.6,
47107,2017-09-25 13:00:00,290.0,5.4,
47107,2017-09-25 14:00:00,330.0,1.8,
47107,2017-09-25 15:00:00,230.0,5.4,
47107,2017-09-25 16:00:00,220.0,5.4,
47107,2017-09-25 17:00:00,220.0,1.8,
47107,2017-09-25 18:00:00,220.0,1.8,
47107,2017-09-25 19:00:00,240.0,3.6,
47107,2017-09-25 20:00:00,220.0,3.6,
47107,2017-09-25 21:00:00,230.0,7.6,
47107,2017-09-25 22:00:00,220.0,1.8,
47107,2017-09-26 00:00:00,10.0,1.8,
47107,2017-09-26 01:00:00,70.0,13.0,
47107,2017-09-26 02:00:00,70.0,16.6,
47107,2017-09-26 03:00:00,70.0,14.8,
47107,2017-09-26 04:00:00,90.0,18.4,
47107,2017-09-26 05:00:00,100.0,18.4,
47107,2017-09-26 06:00:00,100.0,16.6,
47107,2017-09-26 07:00:00,100.0,13.0,
47107,2017-09-26 08:00:00,120.0,13.0,
47107,2017-09-26 09:00:00,110.0,7.6,
47107,2017-09-26 10:00:00,130.0,5.4,
47107,2017-09-26 11:00:00,130.0,3.6,
47107,2017-09-26 12:00:00,210.0,5.4,
47107,2017-09-26 13:00:00,210.0,7.6,
47107,2017-09-26 14:00:00,180.0,1.8,
47107,2017-09-26 15:00:00,230.0,9.4,
47107,2017-09-26 16:00:00,190.0,1.8,
47107,2017-09-26 18:00:00,210.0,3.6,
47107,2017-09-26 19:00:00,210.0,5.4,
47107,2017-09-26 20:00:00,210.0,1.8,
47107,2017-09-26 21:00:00,190.0,3.6,
47107,2017-09-26 22:00:00,20.0,1.8,
47107,2017-09-26 23:00:00,220.0,7.6,
47107,2017-09-27 00:00:00,220.0,7.6,
47107,2017-09-27 01:00:00,240.0,7.6,
47107,2017-09-27 02:00:00,200.0,3.6,
47107,2017-09-27 03:00:00,250.0,5.4,
47107,2017-09-27 04:00:00,210.0,5.4,
47107,2017-09-27 05:00:00,260.0,5.4,
47107,2017-09-27 06:00:00,180.0,3.6,
47107,2017-09-27 07:00:00,90.0,7.6,
47107,2017-09-27 08:00:00,290.0,1.8,
47107,2017-09-27 09:00:00,100.0,22.3,
47107,2017-09-27 10:00:00,80.0,1.8,
47107,2017-09-27 11:00:00,270.0,3.6,
47107,2017-09-27 12:00:00,70.0,16.6,
47107,2017-09-27 13:00:00,70.0,22.3,
47107,2017-09-27 14:00:00,70.0,25.9,
47107,2017-09-27 15:00:00,50.0,24.1,
47107,2017-09-27 16:00:00,50.0,14.8,
47107,2017-09-27 17:00:00,350.0,7.6,
47107,2017-09-27 18:00:00,260.0,1.8,
47107,2017-09-27 19:00:00,190.0,5.4,
47107,2017-09-27 20:00:00,230.0,7.6,
47107,2017-09-27 21:00:00,230.0,5.4,
47107,2017-09-27 22:00:00,220.0,5.4,
47107,2017-09-27 23:00:00,240.0,5.4,
47107,2017-09-28 00:00:00,240.0,7.6,
47107,2017-09-28 01:00:00,170.0,5.4,
47107,2017-09-28 02:00:00,120.0,13.0,
47107,2017-09-28 04:00:00,130.0,18.4,
47107,2017-09-28 05:00:00,110.0,18.4,
47107,2017-09-28 06:00:00,90.0,9.4,
47107,2017-09-28 07:00:00,270.0,13.0,
47107,2017-09-28 08:00:00,280.0,24.1,
47107,2017-09-28 09:00:00,240.0,11.2,
47107,2017-09-28 10:00:00,260.0,13.0,
47107,2017-09-28 11:00:00,260.0,22.3,
47107,2017-09-28 12:00:00,240.0,18.4,
47107,2017-09-28 13:00:00,250.0,24.1,
47107,2017-09-28 14:00:00,230.0,9.4,
47107,2017-09-28 15:00:00,250.0,14.8,
47107,2017-09-28 16:00:00,240.0,11.2,
47107,2017-09-28 18:00:00,270.0,18.4,
47107,2017-09-28 19:00:00,200.0,5.4,
47107,2017-09-28 20:00:00,260.0,9.4,
47107,2017-09-28 21:00:00,250.0,13.0,
47107,2017-09-28 22:00:00,250.0,11.2,
47107,2017-09-28 23:00:00,260.0,13.0,
