station,datetime,wdir,wspd,wpgt
47154,2017-09-25 08:00:00,290.0,1.8,
47154,2017-09-25 09:00:00,280.0,1.8,
47154,2017-09-25 21:00:00,330.0,1.8,
47154,2017-09-25 22:00:00,100.0,1.8,
47154,2017-09-25 23:00:00,40.0,1.8,
47154,2017-09-26 00:00:00,120.0,1.8,
47154,2017-09-26 01:00:00,130.0,5.4,
47154,2017-09-26 02:00:00,130.0,5.4,
47154,2017-09-26 03:00:00,130.0,5.4,
47154,2017-09-26 04:00:00,80.0,5.4,
47154,2017-09-26 05:00:00,220.0,3.6,
47154,2017-09-26 06:00:00,300.0,1.8,
47154,2017-09-26 09:00:00,310.0,1.8,
47154,2017-09-26 10:00:00,30.0,1.8,
47154,2017-09-26 11:00:00,300.0,1.8,
47154,2017-09-26 21:00:00,250.0,5.4,
47154,2017-09-26 22:00:00,270.0,1.8,
47154,2017-09-26 23:00:00,30.0,1.8,
47154,2017-09-27 00:00:00,290.0,1.8,
47154,2017-09-27 01:00:00,350.0,1.8,
47154,2017-09-27 02:00:00,300.0,1.8,
47154,2017-09-27 03:00:00,270.0,1.8,
47154,2017-09-27 04:00:00,60.0,1.8,
47154,2017-09-27 05:00:00,360.0,1.8,
47154,2017-09-27 06:00:00,260.0,5.4,
47154,2017-09-27 07:00:00,290.0,1.8,
47154,2017-09-27 08:00:00,240.0,1.8,
47154,2017-09-27 09:00:00,250.0,3.6,
47154,2017-09-27 21:00:00,340.0,1.8,
47154,2017-09-27 22:00:00,40.0,1.8,
47154,2017-09-27 23:00:00,130.0,1.8,
47154,2017-09-28 00:00:00,100.0,3.6,
47154,2017-09-28 01:00:00,180.0,1.8,
47154,2017-09-28 02:00:00,180.0,3.6,
47154,2017-09-28 03:00:00,100.0,5.4,
47154,2017-09-28 04:00:00,120.0,5.4,
47154,2017-09-28 05:00:00,230.0,7.6,
47154,2017-09-28 06:00:00,70.0,5.4,
47154,2017-09-28 07:00:00,10.0,5.4,
47154,2017-09-28 08:00:00,20.0,7.6,
47154,2017-09-28 09:00:00,10.0,1.8,
47154,2017-09-28 21:00:00,10.0,1.8,
47154,2017-09-28 22:00:00,320.0,1.8,
47154,2017-09-28 23:00:00,110.0,1.8,
47154,2017-09-29 00:00:00,130.0,3.6,
47154,2017-09-29 01:00:00,350.0,3.6,
47154,2017-09-29 02:00:00,290.0,3.6,
47154,2017-09-29 03:00:00,10.0,3.6,
47154,2017-09-29 04:00:00,110.0,5.4,
47154,2017-09-29 05:00:00,310.0,5.4,
47154,2017-09-29 06:00:00,260.0,9.4,
47154,2017-09-29 07:00:00,100.0,3.6,
47154,2017-09-29 08:00:00,150.0,1.8,
47154,2017-09-29 09:00:00,280.0,1.8,
47154,2017-10-10 05:00:00,210.0,3.6,
47154,2017-10-10 06:00:00,10.0,3.6,
47154,2017-10-10 07:00:00,270.0,1.8,
47154,2017-10-10 08:00:00,280.0,1.8,
47154,2017-10-10 09:00:00,340.0,1.8,
47154,2017-10-10 21:00:00,340.0,1.8,
47154,2017-10-10 22:00:00,50.0,1.8,
47154,2017-10-10 23:00:00,140.0,1.8,
47154,2017-10-11 00:00:00,340.0,1.8,
47154,2017-10-11 01:00:00,240.0,1.8,
47154,2017-10-11 02:00:00,10.0,3.6,
47154,2017-10-11 03:00:00,100.0,3.6,
47154,2017-10-11 04:00:00,30.0,3.6,
47154,2017-10-11 05:00:00,80.0,5.4,
47154,2017-10-11 06:00:00,10.0,1.8,
47154,2017-10-11 07:00:00,80.0,5.4,
47154,2017-10-11 08:00:00,250.0,1.8,
47154,2017-10-11 09:00:00,20.0,1.8,
47154,2017-10-11 21:00:00,280.0,1.8,
47154,2017-10-11 22:00:00,290.0,1.8,
47154,2017-10-11 23:00:00,310.0,1.8,
47154,2017-10-12 00:00:00,270.0,1.8,
47154,2017-10-12 01:00:00,270.0,1.8,
47154,2017-10-12 02:00:00,300.0,1.8,
47154,2017-10-12 03:00:00,240.0,3.6,
47154,2017-10-12 04:00:00,10.0,3.6,
47154,2017-10-12 05:00:00,340.0,1.8,
47154,2017-10-12 06:00:00,20.0,1.8,
47154,2017-10-12 07:00:00,320.0,1.8,
47154,2017-10-12 08:00:00,340.0,1.8,
47154,2017-10-12 09:00:00,110.0,1.8,
47154,2017-10-12 10:00:00,210.0,1.8,
47154,2017-10-12 11:00:00,230.0,1.8,
47154,2017-10-12 21:00:00,280.0,1.8,
47154,2017-10-12 22:00:00,290.0,1.8,
47154,2017-10-12 23:00:00,120.0,1.8,
47154,2017-10-13 00:00:00,340.0,3.6,
47154,2017-10-13 01:00:00,40.0,3.6,
47154,2017-10-13 02:00:00,90.0,3.6,
47154,2017-10-13 03:00:00,40.0,7.6,
47154,2017-10-13 04:00:00,60.0,5.4,
47154,2017-10-13 05:00:00,310.0,5.4,
47154,2017-10-13 06:00:00,260.0,5.4,
47154,2017-10-13 07:00:00,350.0,9.4,
47154,2017-10-13 08:00:00,290.0,1.8,
47154,2017-10-13 09:00:00,210.0,3.6,
