station,datetime,wdir,wspd,wpgt
47161,2013-01-08 16:00:00,50.0,3.6,
47161,2013-01-28 20:00:00,40.0,7.6,
47161,2013-03-14 15:00:00,30.0,3.6,
47161,2013-03-14 16:00:00,20.0,3.6,
47161,2013-03-14 19:00:00,30.0,5.4,
47161,2013-03-14 20:00:00,30.0,3.6,
47161,2013-03-28 13:00:00,0.0,0.0,
47161,2013-04-26 05:00:00,320.0,24.1,
47161,2013-05-09 14:00:00,230.0,5.4,
47161,2013-06-04 13:00:00,250.0,3.6,
47161,2013-06-04 14:00:00,10.0,3.6,
47161,2013-06-04 15:00:00,10.0,1.8,
47161,2013-06-04 16:00:00,60.0,5.4,
47161,2013-06-04 17:00:00,20.0,1.8,
47161,2013-06-04 19:00:00,360.0,3.6,
47161,2013-06-04 20:00:00,40.0,3.6,
47161,2013-06-10 16:00:00,50.0,5.4,
47161,2013-06-27 14:00:00,30.0,1.8,
47161,2013-07-18 17:00:00,30.0,1.8,
47161,2013-07-18 18:00:00,20.0,1.8,
47161,2013-07-19 16:00:00,190.0,5.4,
47161,2013-10-24 17:00:00,50.0,11.2,
47161,2013-10-25 17:00:00,40.0,9.4,
47161,2013-10-25 20:00:00,30.0,3.6,
47161,2013-11-01 15:00:00,60.0,7.6,
47161,2013-11-02 07:00:00,240.0,9.4,
47161,2013-11-02 18:00:00,70.0,5.4,
47161,2013-11-25 20:00:00,50.0,3.6,
47161,2013-11-26 15:00:00,360.0,1.8,
47161,2013-11-26 16:00:00,60.0,3.6,
47161,2013-11-26 17:00:00,60.0,1.8,
47161,2013-11-29 15:00:00,20.0,3.6,
47161,2013-11-30 14:00:00,40.0,5.4,
47161,2013-12-03 17:00:00,50.0,3.6,
47161,2013-12-07 15:00:00,50.0,5.4,
47161,2013-12-07 19:00:00,70.0,5.4,
47161,2013-12-08 18:00:00,50.0,3.6,
47161,2013-12-12 17:00:00,270.0,13.0,
47161,2013-12-12 18:00:00,230.0,13.0,
47161,2013-12-12 19:00:00,250.0,14.8,
47161,2013-12-15 15:00:00,50.0,3.6,
47161,2013-12-15 18:00:00,40.0,7.6,
47161,2013-12-16 17:00:00,60.0,7.6,
47161,2013-12-19 01:00:00,80.0,1.8,
47161,2013-12-19 02:00:00,320.0,5.4,
