station,datetime,wdir,wspd,wpgt
47185,2017-09-25 07:00:00,110.0,18.4,
47185,2017-09-25 08:00:00,120.0,16.6,
47185,2017-09-25 09:00:00,130.0,27.7,
47185,2017-09-25 10:00:00,130.0,27.7,
47185,2017-09-25 11:00:00,130.0,27.7,
47185,2017-09-25 12:00:00,130.0,25.9,
47185,2017-09-25 13:00:00,130.0,25.9,
47185,2017-09-25 14:00:00,130.0,27.7,
47185,2017-09-25 15:00:00,130.0,31.7,
47185,2017-09-25 16:00:00,130.0,29.5,
47185,2017-09-25 17:00:00,130.0,25.9,
47185,2017-09-25 18:00:00,130.0,24.1,
47185,2017-09-25 20:00:00,120.0,29.5,
47185,2017-09-25 21:00:00,120.0,25.9,
47185,2017-09-25 22:00:00,130.0,31.7,
47185,2017-09-25 23:00:00,130.0,27.7,
47185,2017-09-26 02:00:00,140.0,27.7,
47185,2017-09-26 06:00:00,180.0,29.5,
47185,2017-09-26 08:00:00,180.0,33.5,
47185,2017-09-26 09:00:00,200.0,16.6,
47185,2017-09-26 10:00:00,160.0,14.8,
47185,2017-09-26 11:00:00,200.0,18.4,
47185,2017-09-26 12:00:00,200.0,20.5,
47185,2017-09-26 13:00:00,220.0,13.0,
47185,2017-09-26 14:00:00,250.0,11.2,
47185,2017-09-26 15:00:00,270.0,14.8,
47185,2017-09-26 17:00:00,310.0,22.3,
47185,2017-09-26 18:00:00,330.0,20.5,
47185,2017-09-26 19:00:00,350.0,33.5,
47185,2017-09-26 20:00:00,250.0,33.5,
47185,2017-09-26 21:00:00,350.0,31.7,
47185,2017-09-26 22:00:00,350.0,27.7,
47185,2017-09-26 23:00:00,340.0,27.7,
47185,2017-09-27 00:00:00,350.0,27.7,
47185,2017-09-27 01:00:00,360.0,29.5,
47185,2017-09-27 02:00:00,350.0,29.5,
47185,2017-09-27 04:00:00,20.0,29.5,
47185,2017-09-27 05:00:00,30.0,33.5,
47185,2017-09-27 06:00:00,30.0,31.7,
47185,2017-09-27 07:00:00,40.0,33.5,
47185,2017-09-27 09:00:00,50.0,31.7,
47185,2017-09-27 11:00:00,40.0,29.5,
47185,2017-09-27 13:00:00,60.0,29.5,
47185,2017-09-27 14:00:00,60.0,31.7,
47185,2017-09-27 15:00:00,50.0,35.3,
47185,2017-09-27 16:00:00,50.0,31.7,
47185,2017-09-27 17:00:00,50.0,35.3,
47185,2017-09-27 18:00:00,60.0,31.7,
47185,2017-09-27 19:00:00,70.0,27.7,
47185,2017-09-27 20:00:00,70.0,22.3,
47185,2017-09-27 21:00:00,70.0,29.5,
47185,2017-09-27 22:00:00,70.0,31.7,
47185,2017-09-27 23:00:00,70.0,31.7,
47185,2017-09-28 00:00:00,60.0,35.3,
47185,2017-09-28 02:00:00,50.0,33.5,
47185,2017-09-28 04:00:00,80.0,33.5,
47185,2017-09-28 08:00:00,70.0,31.7,
47185,2017-09-28 09:00:00,70.0,27.7,
47185,2017-09-28 10:00:00,70.0,27.7,
47185,2017-09-28 11:00:00,70.0,27.7,
47185,2017-09-28 12:00:00,80.0,25.9,
47185,2017-09-28 13:00:00,90.0,27.7,
