station,datetime,wdir,wspd,wpgt
47156,2013-01-07 20:00:00,120.0,1.8,
47156,2013-01-28 20:00:00,110.0,1.8,
47156,2013-03-14 15:00:00,280.0,3.6,
47156,2013-04-26 05:00:00,300.0,20.5,
47156,2013-04-26 06:00:00,310.0,20.5,
47156,2013-04-26 08:00:00,320.0,22.3,
47156,2013-06-04 16:00:00,230.0,3.6,
47156,2013-06-04 19:00:00,220.0,1.8,
47156,2013-06-04 20:00:00,310.0,3.6,
47156,2013-06-20 04:00:00,240.0,9.4,
47156,2013-08-25 14:00:00,170.0,1.8,
47156,2013-09-06 14:00:00,40.0,9.4,
47156,2013-09-06 19:00:00,30.0,5.4,
47156,2013-10-17 14:00:00,210.0,3.6,
47156,2013-10-25 17:00:00,10.0,9.4,
47156,2013-11-01 14:00:00,90.0,1.8,
47156,2013-11-01 16:00:00,300.0,1.8,
47156,2013-11-02 07:00:00,20.0,9.4,
47156,2013-11-02 14:00:00,360.0,9.4,
47156,2013-11-02 18:00:00,60.0,1.8,
47156,2013-11-02 19:00:00,100.0,9.4,
47156,2013-11-09 18:00:00,280.0,13.0,
47156,2013-11-09 19:00:00,310.0,20.5,
47156,2013-11-09 20:00:00,350.0,20.5,
47156,2013-11-10 18:00:00,20.0,5.4,
47156,2013-11-17 18:00:00,320.0,9.4,
47156,2013-11-26 16:00:00,300.0,7.6,
47156,2013-11-26 17:00:00,280.0,3.6,
47156,2013-11-26 18:00:00,50.0,1.8,
47156,2013-11-29 16:00:00,250.0,1.8,
47156,2013-11-30 14:00:00,10.0,1.8,
47156,2013-12-03 17:00:00,130.0,1.8,
47156,2013-12-03 18:00:00,360.0,5.4,
47156,2013-12-03 19:00:00,30.0,1.8,
47156,2013-12-07 15:00:00,180.0,1.8,
47156,2013-12-07 19:00:00,40.0,1.8,
47156,2013-12-11 15:00:00,340.0,14.8,
47156,2013-12-11 19:00:00,180.0,5.4,
47156,2013-12-12 17:00:00,340.0,11.2,
47156,2013-12-12 18:00:00,330.0,18.4,
47156,2013-12-12 19:00:00,340.0,14.8,
47156,2013-12-15 15:00:00,340.0,5.4,
47156,2013-12-15 18:00:00,350.0,3.6,
47156,2013-12-15 19:00:00,340.0,3.6,
47156,2013-12-16 17:00:00,190.0,1.8,
47156,2013-12-19 01:00:00,340.0,18.4,
47156,2013-12-19 02:00:00,350.0,20.5,
