station,datetime,wdir,wspd,wpgt
47138,2013-01-19 16:00:00,250.0,11.2,
47138,2013-01-28 20:00:00,210.0,9.4,
47138,2013-01-31 22:00:00,180.0,1.8,
47138,2013-02-12 22:00:00,240.0,13.0,
47138,2013-03-14 17:00:00,200.0,3.6,
47138,2013-03-14 18:00:00,200.0,3.6,
47138,2013-03-14 20:00:00,200.0,7.6,
47138,2013-03-14 21:00:00,200.0,3.6,
47138,2013-03-19 20:00:00,30.0,14.8,
47138,2013-04-26 05:00:00,290.0,25.9,
47138,2013-05-10 20:00:00,260.0,14.8,
47138,2013-05-10 21:00:00,250.0,20.5,
47138,2013-05-10 22:00:00,260.0,18.4,
47138,2013-06-04 13:00:00,150.0,5.4,
47138,2013-06-04 14:00:00,130.0,7.6,
47138,2013-06-04 15:00:00,150.0,7.6,
47138,2013-06-04 17:00:00,160.0,3.6,
47138,2013-06-04 19:00:00,190.0,3.6,
47138,2013-06-04 20:00:00,170.0,5.4,
47138,2013-09-01 18:00:00,340.0,7.6,
47138,2013-09-01 19:00:00,300.0,1.8,
47138,2013-09-01 20:00:00,200.0,3.6,
47138,2013-09-06 15:00:00,160.0,5.4,
47138,2013-09-06 16:00:00,150.0,5.4,
47138,2013-09-08 17:00:00,140.0,5.4,
47138,2013-09-23 19:00:00,180.0,3.6,
47138,2013-09-23 21:00:00,250.0,1.8,
47138,2013-10-17 14:00:00,170.0,5.4,
47138,2013-10-24 19:00:00,250.0,16.6,
47138,2013-10-25 15:00:00,220.0,11.2,
47138,2013-10-25 17:00:00,230.0,9.4,
47138,2013-10-25 18:00:00,230.0,13.0,
47138,2013-10-25 20:00:00,220.0,14.8,
47138,2013-10-25 21:00:00,230.0,14.8,
47138,2013-11-01 15:00:00,190.0,3.6,
47138,2013-11-01 21:00:00,140.0,5.4,
47138,2013-11-02 07:00:00,110.0,9.4,
47138,2013-11-02 13:00:00,210.0,7.6,
47138,2013-11-02 14:00:00,180.0,5.4,
47138,2013-11-02 18:00:00,230.0,11.2,
47138,2013-11-02 19:00:00,230.0,13.0,
47138,2013-11-09 18:00:00,210.0,5.4,
47138,2013-11-10 15:00:00,240.0,20.5,
47138,2013-11-10 16:00:00,230.0,13.0,
47138,2013-11-10 17:00:00,230.0,16.6,
47138,2013-11-10 18:00:00,220.0,11.2,
47138,2013-11-17 19:00:00,250.0,27.7,
47138,2013-11-25 12:00:00,250.0,37.1,
47138,2013-11-25 13:00:00,250.0,29.5,
47138,2013-11-25 16:00:00,260.0,25.9,
47138,2013-11-25 17:00:00,250.0,25.9,
47138,2013-11-25 18:00:00,260.0,24.1,
47138,2013-11-25 19:00:00,260.0,25.9,
47138,2013-11-25 20:00:00,260.0,24.1,
47138,2013-11-25 21:00:00,260.0,24.1,
47138,2013-11-25 22:00:00,250.0,18.4,
47138,2013-11-26 16:00:00,130.0,3.6,
47138,2013-11-26 17:00:00,160.0,7.6,
47138,2013-11-29 15:00:00,240.0,14.8,
47138,2013-11-29 20:00:00,240.0,20.5,
47138,2013-11-29 21:00:00,240.0,22.3,
47138,2013-11-30 14:00:00,200.0,9.4,
47138,2013-12-03 19:00:00,220.0,7.6,
47138,2013-12-07 15:00:00,180.0,11.2,
47138,2013-12-07 19:00:00,200.0,7.6,
47138,2013-12-11 17:00:00,260.0,24.1,
47138,2013-12-11 18:00:00,260.0,22.3,
47138,2013-12-12 11:00:00,180.0,13.0,
47138,2013-12-12 12:00:00,210.0,22.3,
47138,2013-12-12 13:00:00,190.0,20.5,
47138,2013-12-12 15:00:00,250.0,27.7,
47138,2013-12-12 17:00:00,190.0,16.6,
47138,2013-12-12 18:00:00,220.0,22.3,
47138,2013-12-12 19:00:00,220.0,20.5,
47138,2013-12-15 15:00:00,220.0,11.2,
47138,2013-12-15 18:00:00,240.0,11.2,
47138,2013-12-15 19:00:00,240.0,7.6,
47138,2013-12-19 01:00:00,240.0,20.5,
47138,2013-12-19 02:00:00,260.0,35.3,
47138,2013-12-19 10:00:00,260.0,22.3,
47138,2013-12-23 19:00:00,230.0,14.8,
