station,period,n,mean,p50,p90,weibull_k,weibull_c,power_density,dir_0,dir_22,dir_45,dir_67,dir_90,dir_112,dir_135,dir_157,dir_180,dir_202,dir_225,dir_247,dir_270,dir_292,dir_315,dir_337
47086,2015,8657,12.163393785375996,11.2,22.3,1.7456489204543246,14.111968059370362,2856.679242568153,0.08155250086635094,0.046436409841746566,0.07104077625043317,0.05902737668938431,0.12810442416541526,0.04712949058565323,0.029109391244079935,0.01917523391475107,0.03211274113434215,0.036848792884371026,0.03765738708559547,0.03835046782950214,0.10511724615917754,0.06595818412845096,0.1114704863116553,0.06295483423818875
47101,2015,8715,11.154675846242112,9.4,22.3,1.4971620633554936,12.644465124413955,2775.4030528112453,0.08938611589213999,0.02214572576018359,0.04142283419391853,0.0336201950659782,0.08846815834767642,0.029030407343660355,0.026735513482501434,0.02455536431440046,0.07160068846815834,0.02570281124497992,0.10877796901893287,0.15846242111302353,0.15536431440045897,0.03557085484796328,0.04555364314400459,0.04360298336201951
47103,2015,1,18.4,18.4,18.4,,,3815.5712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47104,2015,8715,11.154675846242112,9.4,22.3,1.4971620633554936,12.644465124413955,2775.4030528112453,0.08938611589213999,0.02214572576018359,0.04142283419391853,0.0336201950659782,0.08846815834767642,0.029030407343660355,0.026735513482501434,0.02455536431440046,0.07160068846815834,0.02570281124497992,0.10877796901893287,0.15846242111302353,0.15536431440045897,0.03557085484796328,0.04555364314400459,0.04360298336201951
47108,2015,8723,9.732500286598647,9.4,18.4,1.71954843910489,11.045377383439597,1352.3140869568956,0.08907485956666285,0.020291184225610454,0.050326722457869996,0.06786655966983836,0.04860713057434369,0.016737360999656083,0.024303565287171845,0.027398830677519203,0.05560013756735068,0.02785738851312622,0.05261951163590508,0.06121747105353663,0.17482517482517482,0.08013298177232603,0.13114754098360656,0.0719935801903015
47110,2015,8723,9.813206465665482,9.4,18.4,1.6376493211944045,11.105587237522432,1490.0840147311706,0.08448928121059268,0.02957698039665253,0.02407428636936834,0.02556459933509114,0.05021208299896825,0.024418204746073598,0.03106729336237533,0.03393327983491918,0.062478505101455924,0.03897741602659636,0.0418434024991402,0.0418434024991402,0.11842256104551187,0.12312277886048378,0.17253238564713974,0.09744354006649089
47111,2015,2834,5.8946012702893436,5.4,11.2,1.4888107837606763,6.564237645983212,361.5009374779464,0.06422018348623854,0.037755822159491886,0.02081863091037403,0.017290049400141144,0.022935779816513763,0.019407198306280876,0.040931545518701484,0.09421312632321807,0.152787579393084,0.05716302046577276,0.048694424841213835,0.04410726887791108,0.09209597741707834,0.11644318983768526,0.10303458009880029,0.06810162314749471
47112,2015,8722,9.815363448750288,9.4,18.4,1.637899191618946,11.108170338475308,1490.6128191011235,0.08449896812657648,0.02958037147443247,0.024077046548956663,0.025682182985553772,0.05044714515019491,0.0244210043567989,0.0310708553084155,0.033937170373767485,0.06248566842467324,0.038981884888786976,0.04184819995413896,0.0416188947489108,0.11832148589772988,0.1231368952075212,0.17243751433157534,0.09745471222196744
47113,2015,8722,13.760914927768862,13.0,24.1,1.7928632516219156,15.552761713506518,3569.907580969102,0.05961935335932125,0.049873882137124514,0.11763357028204541,0.054230681036459526,0.033937170373767485,0.03187342352671406,0.05239623939463426,0.03749140105480395,0.04471451501949094,0.0416188947489108,0.04654895666131621,0.038293969273102496,0.09791332263242375,0.11476725521669343,0.11167163494611328,0.06741573033707865
47114,2015,2896,4.934633977900552,3.6,9.4,1.5885875567076866,6.089983405737921,253.59678583822514,0.2948895027624309,0.0,0.09564917127071823,0.027279005524861878,0.08977900552486189,0.0,0.02106353591160221,0.015193370165745856,0.06042817679558011,0.0,0.0949585635359116,0.11153314917127072,0.13156077348066297,0.0,0.03211325966850829,0.025552486187845305
47117,2015,8723,9.732500286598647,9.4,18.4,1.71954843910489,11.045377383439597,1352.3140869568956,0.08907485956666285,0.020291184225610454,0.050326722457869996,0.06786655966983836,0.04860713057434369,0.016737360999656083,0.024303565287171845,0.027398830677519203,0.05560013756735068,0.02785738851312622,0.05261951163590508,0.06121747105353663,0.17482517482517482,0.08013298177232603,0.13114754098360656,0.0719935801903015
47118,2015,2896,4.934633977900552,3.6,9.4,1.5885875567076866,6.089983405737921,253.59678583822514,0.2948895027624309,0.0,0.09564917127071823,0.027279005524861878,0.08977900552486189,0.0,0.02106353591160221,0.015193370165745856,0.06042817679558011,0.0,0.0949585635359116,0.11153314917127072,0.13156077348066297,0.0,0.03211325966850829,0.025552486187845305
47120,2015,8708,9.005741846577859,7.6,18.4,1.6784229759111327,11.24628746367133,1429.1987367765275,0.11426274689940284,0.019522278364722093,0.04122645842903078,0.13585209003215434,0.17696371152962792,0.016881028938906754,0.011598530087276068,0.013780431786862656,0.03422140560404226,0.04088194763435921,0.046279283417547085,0.06649058337161232,0.13780431786862654,0.06028938906752412,0.026297657326596235,0.014469453376205787
47122,2015,8717,9.013949753355513,7.6,18.4,1.6789823269157416,11.260021747485624,1432.8246357892624,0.11942181943329128,0.01881381209131582,0.04152804864058736,0.1364001376620397,0.18010783526442584,0.018928530457726283,0.014110359068486865,0.014798669266949638,0.036939313984168866,0.042101640472639666,0.04806699552598371,0.06814270964781462,0.14167718251692096,0.06068601583113457,0.027417689572100494,0.01537226109900195
47124,2015,8562,6.806318617145527,5.4,14.8,1.407493098350391,7.679021594528836,685.9851906198902,0.12613875262789068,0.05080588647512264,0.06540527914038775,0.05430974071478627,0.08724597056762438,0.01751927119831815,0.02441018453632329,0.017052090633029666,0.06809156739079654,0.035739313244569026,0.09331931791637468,0.069493109086662,0.11212333566923616,0.039243167484232656,0.0817565989254847,0.05734641438916141
47125,2015,2896,4.934633977900552,3.6,9.4,1.5885875567076866,6.089983405737921,253.59678583822514,0.2948895027624309,0.0,0.09564917127071823,0.027279005524861878,0.08977900552486189,0.0,0.02106353591160221,0.015193370165745856,0.06042817679558011,0.0,0.0949585635359116,0.11153314917127072,0.13156077348066297,0.0,0.03211325966850829,0.025552486187845305
