station,period,n,mean,p50,p90,weibull_k,weibull_c,power_density,dir_0,dir_22,dir_45,dir_67,dir_90,dir_112,dir_135,dir_157,dir_180,dir_202,dir_225,dir_247,dir_270,dir_292,dir_315,dir_337
47086,2023,8737,16.27928350692457,13.0,34.6,1.3947376422647837,18.141790624112257,8011.93722678408,0.09007668536110792,0.03433672885429782,0.032734348174430584,0.053221929724161614,0.07451070161382625,0.05677005837243905,0.04566784937621609,0.04955934531303651,0.07714318415932242,0.04978825683873183,0.03319217122582122,0.03868604784250887,0.0591736293922399,0.0763419938193888,0.12246766624699554,0.10632940368547557
47101,2023,8737,6.102643928121782,5.5,11.1,2.0099571020176223,6.996289145461264,279.79999124413416,0.16218381595513334,0.06512532906031819,0.030216321391782076,0.008927549502117431,0.0059516996680782875,0.005722788142382969,0.009385372553508069,0.023120064095227193,0.051161725992903744,0.08996222959826028,0.1358589905001717,0.08240814925031476,0.04257754377932929,0.04349318988211057,0.07519743619091221,0.16870779443744993
47103,2023,8737,19.4174316126817,14.8,40.3,1.5699022313412736,21.778428549216194,11712.248522257354,0.06901682499713861,0.06111937736065011,0.06031818702071649,0.06295066956621266,0.04017397275952844,0.03593910953416504,0.05470985464118119,0.06523978482316585,0.07004692686276753,0.052878562435618635,0.04978825683873183,0.05013162412727481,0.11869062607302278,0.0512761817557514,0.06386631566899394,0.09385372553508069
47104,2023,8737,4.944809431154858,4.3,9.4,1.4907358657376255,5.788158605137729,273.6888410209454,0.12166647590706192,0.03880050360535653,0.037427034451184615,0.030903055968868033,0.05333638548700927,0.032505436648735266,0.034909007668536114,0.07016138262561519,0.11708824539315554,0.037312578688336956,0.06031818702071649,0.07599862653084583,0.09362481400938537,0.0676433558429667,0.08069131280759986,0.0476135973446263
47105,2023,8737,9.842989584525581,9.3,14.8,2.52894078961389,11.082196353258103,933.81431516825,0.035137919194231426,0.03342108275151654,0.031017511731715693,0.02952958681469612,0.05448094311548587,0.04978825683873183,0.02415016596085613,0.01487924917019572,0.019457479684102094,0.03387890580290718,0.16012361222387547,0.20705047499141582,0.1707679981687078,0.06638434245164244,0.039601693945290145,0.030330777154629736
47106,2023,8737,8.469989698981344,7.4,14.8,1.9931002825128667,9.606079232623614,794.6617074410556,0.08195032619892412,0.050703902941513106,0.03845713631681355,0.03639693258555568,0.05699896989813437,0.052420739384228,0.026897104269199956,0.02025867002403571,0.030445232917477395,0.08320933959024837,0.14570218610507038,0.0884743046812407,0.09499828316355728,0.06833009042005266,0.05631223532104841,0.06844454618290031
47107,2023,8737,11.837358360993475,9.4,24.1,1.3588997297264191,12.987723936050822,3613.283577569532,0.0402884285223761,0.032390980885887606,0.037198122925489296,0.04749914158177864,0.08504063179581092,0.04280645530502461,0.01796955476708252,0.014306970355957422,0.03857159207966121,0.09007668536110792,0.16893670596314525,0.1798100034336729,0.0909923314638892,0.04120407462515738,0.037541490214032275,0.035366830719926745
47108,2023,8737,8.220659265194003,7.6,13.0,2.1694625739314737,9.318812685843703,622.2384205805769,0.052420739384228,0.08275151653885773,0.16241272748082866,0.046469039716149706,0.023463431383770172,0.013276868490328489,0.017855099004234862,0.016252718324367633,0.062836213803365,0.04223417649078631,0.06478196177177521,0.13711800389149595,0.18278585326771202,0.04223417649078631,0.03422227309145016,0.018885200869863797
47110,2023,8737,9.882018999656632,9.4,18.4,1.6852143207357526,11.149471479206245,1424.9667416647594,0.06672770974018542,0.0293006752890008,0.02392125443516081,0.025065812063637404,0.046697951241845025,0.03880050360535653,0.05619777955820075,0.05047499141581779,0.06661325397733776,0.048414787684559916,0.041661897676548015,0.05448094311548587,0.1434130708481172,0.12418450268971043,0.12189538743275724,0.062149479226279045
47111,2023,8737,7.036808973331806,5.4,14.8,1.4231387543288165,7.78336083067875,659.1253243905231,0.07302277669680668,0.034680096142840795,0.0256380908778757,0.02037312578688337,0.026782648506352296,0.015108160695891038,0.02918621952615314,0.07851665331349433,0.18324367631910266,0.10861851894242876,0.06432413872038457,0.053107473961313954,0.08183587043607646,0.0822936934874671,0.06981801533707223,0.05345084124985693
47112,2023,8737,18.581824424859793,16.6,32.0,2.0874652322040728,21.058004051188878,7445.709324450612,0.05047499141581779,0.04578230513906375,0.055739956506810115,0.05036053565297013,0.04234863225363397,0.03994506123383312,0.05024607989012247,0.05173400480714204,0.061806111937736066,0.07874556483918965,0.07176376330548243,0.08298042806455305,0.07760100721071306,0.07061920567700583,0.10976307657090535,0.060089275495021174
